#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.204175 seconds
Distributing the actor graph took: 41.4174 seconds
Added actors in: 0.136771 seconds.
Initialized connections of actors in: 0.0478908 seconds.
Async Migration only
Output number: 1, Rank-12: (1) 78 | (2) 1002 | (3)7.78443/100 | (4) 33, 33 | (5) 79.3096 | (6) 44.5612 | (7) 0.000194488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (203413, 203413) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.154 | (25) (33.859, 61-55)
Output number: 1, Rank-242: (1) 65 | (2) 1327 | (3)4.89827/100 | (4) 20, 20 | (5) 75.6186 | (6) 45.736 | (7) 0.000294521 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (165743, 165743) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.464 | (25) (34.2962, 58-54)
Output number: 1, Rank-454: (1) 97 | (2) 1133 | (3)8.56134/100 | (4) 28, 28 | (5) 100.355 | (6) 36.0406 | (7) 0.000191183 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (146521, 146521) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.264 | (25) (33.6473, 87-68)
Output number: 1, Rank-537: (1) 91 | (2) 1552 | (3)5.8634/100 | (4) 38, 38 | (5) 93.9897 | (6) 37.8487 | (7) 0.00017898 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (148199, 148199) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 212.832 | (25) (33.8179, 59-60)
Output number: 1, Rank-517: (1) 65 | (2) 1509 | (3)4.30749/100 | (4) 35, 35 | (5) 82.2911 | (6) 42.8437 | (7) 0.000220883 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (136442, 136442) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.934 | (25) (33.2454, 134-136)
Output number: 1, Rank-218: (1) 78 | (2) 1061 | (3)7.35156/100 | (4) 25, 25 | (5) 80.5056 | (6) 44.1983 | (7) 0.000255439 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (145435, 145435) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 207.651 | (25) (33.7105, 69-70)
Output number: 1, Rank-591: (1) 65 | (2) 910 | (3)7.14286/100 | (4) 19, 19 | (5) 112.146 | (6) 29.8907 | (7) 0.000195678 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.8889/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (89432, 89432) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.391 | (25) (33.4685, 71-54)
Output number: 1, Rank-501: (1) 66 | (2) 1363 | (3)4.84226/100 | (4) 28, 28 | (5) 70.2507 | (6) 48.1 | (7) 0.00021085 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (210446, 210446) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.752 | (25) (33.5802, 72-64)
Output number: 1, Rank-378: (1) 82 | (2) 1457 | (3)5.628/100 | (4) 43, 43 | (5) 72.3739 | (6) 47.6423 | (7) 0.000207471 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (271223, 271223) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 183.623 | (25) (33.85, 94-85)
Output number: 1, Rank-326: (1) 76 | (2) 949 | (3)8.00843/100 | (4) 25, 25 | (5) 63.1003 | (6) 51.121 | (7) 0.000219904 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.3333/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (221225, 221225) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.388 | (25) (33.6944, 57-94)
Output number: 1, Rank-580: (1) 81 | (2) 1560 | (3)5.19231/100 | (4) 29, 29 | (5) 69.0325 | (6) 48.8382 | (7) 0.000195563 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (255239, 255239) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.458 | (25) (33.6538, 85-68)
Output number: 1, Rank-616: (1) 81 | (2) 1110 | (3)7.2973/100 | (4) 34, 34 | (5) 81.6335 | (6) 43.5647 | (7) 0.000250801 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (203948, 203948) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 211.694 | (25) (33.4487, 79-60)
Output number: 1, Rank-157: (1) 74 | (2) 1166 | (3)6.34648/100 | (4) 35, 35 | (5) 72.2009 | (6) 47.1512 | (7) 0.000165269 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.1111/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (224319, 224319) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.657 | (25) (33.6537, 84-93)
Output number: 1, Rank-137: (1) 66 | (2) 852 | (3)7.74648/100 | (4) 55, 55 | (5) 54.824 | (6) 53.4779 | (7) 0.000235204 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 60/100 | (15) 0 | (17) (55, 55) | (18) X | (19) (230772, 230772) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 224.69 | (25) (34.3, 53-74)
Output number: 1, Rank-109: (1) 88 | (2) 1511 | (3)5.82396/100 | (4) 32, 32 | (5) 102.934 | (6) 34.4321 | (7) 0.000211312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (120330, 120330) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.881 | (25) (33.8737, 71-56)
Output number: 1, Rank-63: (1) 79 | (2) 1517 | (3)5.20765/100 | (4) 30, 30 | (5) 79.3443 | (6) 44.0788 | (7) 0.000185931 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (132433, 132433) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 213.79 | (25) (34.2136, 130-5)
Output number: 1, Rank-256: (1) 85 | (2) 941 | (3)9.03294/100 | (4) 15, 15 | (5) 99.8483 | (6) 35.2789 | (7) 0.000292859 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (112397, 112397) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 235.861 | (25) (33.3774, 13-15)
Output number: 1, Rank-285: (1) 89 | (2) 1501 | (3)5.92938/100 | (4) 16, 16 | (5) 94.2624 | (6) 38.2005 | (7) 0.000220476 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (177753, 177753) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 234.507 | (25) (33.4258, 77-51)
Output number: 1, Rank-30: (1) 83 | (2) 931 | (3)8.91515/100 | (4) 19, 19 | (5) 98.915 | (6) 36.2462 | (7) 0.000219806 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (116204, 116204) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.077 | (25) (33.8933, 127-16)
Output number: 1, Rank-442: (1) 99 | (2) 1515 | (3)6.53465/100 | (4) 26, 26 | (5) 94.3074 | (6) 37.5987 | (7) 0.000279993 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (158993, 158993) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.585 | (25) (33.1177, 51-53)
Output number: 1, Rank-655: (1) 93 | (2) 1464 | (3)6.35246/100 | (4) 39, 39 | (5) 70.2367 | (6) 48.0575 | (7) 0.000193124 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (191261, 191261) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 193.204 | (25) (36.49, 74-50)
Output number: 1, Rank-175: (1) 73 | (2) 1446 | (3)5.04841/100 | (4) 30, 30 | (5) 106.328 | (6) 32.6946 | (7) 0.00025308 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (104146, 104146) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.885 | (25) (33.2966, 56-88)
Output number: 1, Rank-341: (1) 62 | (2) 1262 | (3)4.91284/100 | (4) 30, 30 | (5) 113.584 | (6) 28.8999 | (7) 0.000218983 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.8889/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (104350, 104350) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.026 | (25) (33.5115, 14-135)
Output number: 1, Rank-406: (1) 70 | (2) 1068 | (3)6.55431/100 | (4) 44, 44 | (5) 64.798 | (6) 49.9868 | (7) 0.000216353 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.3333/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (237102, 237102) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 214.931 | (25) (33.6674, 49-63)
Output number: 1, Rank-243: (1) 61 | (2) 837 | (3)7.28793/100 | (4) 26, 26 | (5) 62.5874 | (6) 50.8525 | (7) 0.000271096 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 62.7778/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (222220, 222220) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 239.028 | (25) (33.3372, 83-54)
Output number: 1, Rank-455: (1) 95 | (2) 1077 | (3)8.8208/100 | (4) 31, 31 | (5) 95.1907 | (6) 37.7096 | (7) 0.000229127 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (140459, 140459) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.787 | (25) (34.1122, 55-85)
Output number: 1, Rank-538: (1) 80 | (2) 1025 | (3)7.80488/100 | (4) 36, 36 | (5) 89.6308 | (6) 39.515 | (7) 0.000202233 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (191114, 191114) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.995 | (25) (33.6526, 137-122)
Output number: 1, Rank-518: (1) 73 | (2) 979 | (3)7.45659/100 | (4) 22, 22 | (5) 83.3217 | (6) 42.8279 | (7) 0.000212103 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (191129, 191129) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.329 | (25) (33.4871, 74-91)
Output number: 1, Rank-220: (1) 60 | (2) 868 | (3)6.91244/100 | (4) 18, 18 | (5) 69.8137 | (6) 48.5047 | (7) 0.000205355 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (161020, 161020) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 203.815 | (25) (33.5402, 2-2)
Output number: 1, Rank-592: (1) 76 | (2) 875 | (3)8.68571/100 | (4) 18, 18 | (5) 111.968 | (6) 29.8247 | (7) 0.000143554 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (71904, 71904) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.09 | (25) (33.7273, 49-65)
Output number: 1, Rank-502: (1) 67 | (2) 1359 | (3)4.9301/100 | (4) 28, 28 | (5) 62.1179 | (6) 52.4471 | (7) 0.000296845 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.3333/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (216850, 216850) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.69 | (25) (33.9115, 13-135)
Output number: 1, Rank-379: (1) 86 | (2) 1059 | (3)8.12087/100 | (4) 42, 42 | (5) 74.7438 | (6) 45.5847 | (7) 0.000194393 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (215956, 215956) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 215.319 | (25) (33.7095, 14-132)
Output number: 1, Rank-327: (1) 75 | (2) 1110 | (3)6.75676/100 | (4) 48, 48 | (5) 57.7453 | (6) 53.2907 | (7) 0.000227629 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 61.6667/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (253667, 253667) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 153.577 | (25) (33.6966, 14-3)
Output number: 1, Rank-581: (1) 83 | (2) 1561 | (3)5.3171/100 | (4) 24, 24 | (5) 73.4841 | (6) 47.2808 | (7) 0.000266577 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (175375, 175375) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 180.026 | (25) (34.6159, 71-80)
Output number: 1, Rank-618: (1) 91 | (2) 1503 | (3)6.05456/100 | (4) 30, 30 | (5) 87.0278 | (6) 40.9942 | (7) 0.00023944 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (207601, 207601) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 211.102 | (25) (33.9977, 81-71)
Output number: 1, Rank-380: (1) 69 | (2) 1639 | (3)4.20988/100 | (4) 34, 34 | (5) 65.6126 | (6) 51.2871 | (7) 0.000215607 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 64.4444/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (268987, 268987) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 214.99 | (25) (36.3385, 65-67)
Output number: 1, Rank-330: (1) 63 | (2) 1653 | (3)3.81125/100 | (4) 38, 38 | (5) 65.3874 | (6) 49.9279 | (7) 0.000226944 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (249593, 249593) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 214.643 | (25) (33.7872, 11-12)
Output number: 1, Rank-582: (1) 83 | (2) 1136 | (3)7.30634/100 | (4) 25, 25 | (5) 72.5922 | (6) 47.5191 | (7) 0.000194942 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (202482, 202482) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 270.721 | (25) (33.4994, 141-120)
Output number: 1, Rank-619: (1) 84 | (2) 1550 | (3)5.41935/100 | (4) 33, 33 | (5) 87.2709 | (6) 41.5671 | (7) 0.000188704 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (191507, 191507) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 180.158 | (25) (34.1176, 16-132)
Output number: 1, Rank-158: (1) 63 | (2) 1382 | (3)4.55861/100 | (4) 26, 26 | (5) 73.7436 | (6) 46.2732 | (7) 0.000103548 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (179603, 179603) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.76 | (25) (33.5762, 128-11)
Output number: 1, Rank-138: (1) 70 | (2) 861 | (3)8.13008/100 | (4) 24, 24 | (5) 58.5616 | (6) 52.4891 | (7) 0.000188961 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 61.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (225250, 225250) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.853 | (25) (33.3852, 73-55)
Output number: 1, Rank-110: (1) 72 | (2) 798 | (3)9.02256/100 | (4) 22, 22 | (5) 109.764 | (6) 31.1415 | (7) 0.000243679 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (87274, 87274) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 205.275 | (25) (33.2617, 69-64)
Output number: 1, Rank-64: (1) 65 | (2) 1493 | (3)4.35365/100 | (4) 26, 26 | (5) 69.3176 | (6) 48.3144 | (7) 0.000176623 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (242994, 242994) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.83 | (25) (33.7287, 129-140)
Output number: 1, Rank-257: (1) 82 | (2) 1514 | (3)5.41612/100 | (4) 27, 27 | (5) 90.382 | (6) 39.6113 | (7) 0.000230174 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (125580, 125580) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.691 | (25) (33.4246, 59-77)
Output number: 1, Rank-286: (1) 99 | (2) 1099 | (3)9.00819/100 | (4) 30, 30 | (5) 99.8913 | (6) 35.7366 | (7) 0.000226771 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (148970, 148970) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 211.772 | (25) (34.0621, 131-130)
Output number: 1, Rank-31: (1) 75 | (2) 876 | (3)8.56164/100 | (4) 32, 32 | (5) 98.4874 | (6) 36.4484 | (7) 0.000269078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (124005, 124005) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.107 | (25) (33.9345, 140-19)
Output number: 1, Rank-445: (1) 101 | (2) 1456 | (3)6.93681/100 | (4) 26, 26 | (5) 96.4828 | (6) 37.5987 | (7) 0.000212149 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (126389, 126389) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.731 | (25) (33.1974, 70-88)
Output number: 1, Rank-656: (1) 80 | (2) 1513 | (3)5.28751/100 | (4) 21, 21 | (5) 74.7215 | (6) 46.3814 | (7) 0.000174156 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (177482, 177482) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.031 | (25) (34.2942, 90-55)
Output number: 1, Rank-177: (1) 104 | (2) 1040 | (3)10/100 | (4) 30, 30 | (5) 95.8744 | (6) 36.9942 | (7) 0.000147867 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (137061, 137061) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 178.59 | (25) (34.0366, 92-58)
Output number: 1, Rank-343: (1) 61 | (2) 1269 | (3)4.80693/100 | (4) 20, 20 | (5) 112.59 | (6) 30.5957 | (7) 0.000233488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 79.4444/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (93461, 93461) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.82 | (25) (33.7928, 19-134)
Output number: 1, Rank-408: (1) 80 | (2) 1493 | (3)5.35834/100 | (4) 37, 37 | (5) 72.1335 | (6) 47.4248 | (7) 0.00022495 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.1111/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (224880, 224880) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 213.566 | (25) (34.0018, 22-3)
Output number: 1, Rank-244: (1) 83 | (2) 1097 | (3)7.56609/100 | (4) 37, 37 | (5) 67.5788 | (6) 49.1556 | (7) 0.000297266 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 64.4444/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (232753, 232753) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.679 | (25) (33.9196, 8-20)
Output number: 1, Rank-457: (1) 71 | (2) 932 | (3)7.61803/100 | (4) 18, 18 | (5) 93.3412 | (6) 38.215 | (7) 0.000198755 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (156233, 156233) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 236.958 | (25) (33.8421, 85-78)
Output number: 1, Rank-539: (1) 74 | (2) 972 | (3)7.61317/100 | (4) 16, 16 | (5) 97.864 | (6) 36.0604 | (7) 0.000178303 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (105312, 105312) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 201.947 | (25) (33.2444, 127-140)
Output number: 1, Rank-521: (1) 77 | (2) 1520 | (3)5.06579/100 | (4) 34, 34 | (5) 87.2164 | (6) 41.3506 | (7) 0.000197032 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (199212, 199212) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 179.508 | (25) (33.4622, 143-129)
Output number: 1, Rank-222: (1) 58 | (2) 1357 | (3)4.27413/100 | (4) 25, 25 | (5) 68.7082 | (6) 49.347 | (7) 0.000212675 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (222537, 222537) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.156 | (25) (33.4963, 51-70)
Output number: 1, Rank-593: (1) 90 | (2) 851 | (3)10.5758/100 | (4) 25, 25 | (5) 104.787 | (6) 33.9467 | (7) 0.0002087 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (116540, 116540) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.049 | (25) (33.8062, 55-49)
Output number: 1, Rank-477: (1) 88 | (2) 1058 | (3)8.31758/100 | (4) 32, 32 | (5) 75.3246 | (6) 45.8004 | (7) 0.000218302 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (183417, 183417) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 224.182 | (25) (35.784, 78-75)
Output number: 1, Rank-159: (1) 80 | (2) 1169 | (3)6.84346/100 | (4) 15, 15 | (5) 74.4638 | (6) 47.3797 | (7) 0.000203377 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (245767, 245767) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 234.743 | (25) (33.6052, 128-135)
Output number: 1, Rank-112: (1) 82 | (2) 1472 | (3)5.57065/100 | (4) 21, 21 | (5) 111.686 | (6) 30.6851 | (7) 0.000203779 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.8889/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (88339, 88339) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 204.625 | (25) (33.2869, 69-93)
Output number: 1, Rank-111: (1) 89 | (2) 1516 | (3)5.87071/100 | (4) 28, 28 | (5) 106.772 | (6) 33.4863 | (7) 0.000201194 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (129933, 129933) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.8 | (25) (34.1113, 66-78)
Output number: 1, Rank-65: (1) 65 | (2) 1625 | (3)4/100 | (4) 32, 32 | (5) 65.1369 | (6) 50.5219 | (7) 0.000121292 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (227642, 227642) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 178.933 | (25) (33.7719, 142-9)
