#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 2, Rank-35: (1) 0 | (2) 3486 | (3)0/100 | (4) 183, 183 | (5) 8.28536 | (6) 137.246 | (7) 6.8234e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40.2778/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (217270, 107787) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3715 | (25) (0.48028, 47-37) | (26) 224071 | (27) -0.32453
Output number: 2, Rank-88: (1) 4 | (2) 3486 | (3)0.114745/100 | (4) 185, 185 | (5) 8.01478 | (6) 136.78 | (7) 9.18e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (218520, 112081) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.307 | (25) (0.46637, 27-108) | (26) 177768 | (27) -1.03478
Output number: 2, Rank-72: (1) 1 | (2) 3485 | (3)0.0286944/100 | (4) 186, 186 | (5) 8.05238 | (6) 140.779 | (7) 8.9159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 41.1111/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (218290, 111605) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.1575 | (25) (0.48522, 107-111) | (26) 189433 | (27) -0.67819
Output number: 2, Rank-89: (1) 26 | (2) 3472 | (3)0.748848/100 | (4) 215, 215 | (5) 8.95957 | (6) 132.67 | (7) 0.000154865 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.1667/100 | (15) 0 | (17) (215, 215) | (18) X | (19) (242883, 125189) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 76.2614 | (25) (0.48516, 15-117) | (26) 98246 | (27) -1.40618
Output number: 2, Rank-73: (1) 0 | (2) 3483 | (3)0/100 | (4) 182, 182 | (5) 8.16792 | (6) 133.55 | (7) 0.000149995 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.1667/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (213031, 109564) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.9648 | (25) (0.47576, 94-118) | (26) 203401 | (27) -0.42987
Output number: 2, Rank-36: (1) 5 | (2) 3492 | (3)0.143184/100 | (4) 190, 190 | (5) 8.12336 | (6) 135.835 | (7) 9.068e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.7222/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (217393, 110773) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.0889 | (25) (0.46737, 53-35) | (26) 12110 | (27) -0.31931
Output number: 2, Rank-37: (1) 0 | (2) 3487 | (3)0/100 | (4) 183, 183 | (5) 8.23557 | (6) 134.68 | (7) 0.000124027 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.4444/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (214971, 107814) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3902 | (25) (0.47321, 51-22) | (26) 10092 | (27) -0.32688
Output number: 2, Rank-90: (1) 1 | (2) 3457 | (3)0.0289268/100 | (4) 184, 184 | (5) 8.09866 | (6) 137.385 | (7) 7.2962e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40.2778/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (221571, 111962) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.4997 | (25) (0.52172, 2-94) | (26) 161838 | (27) -0.67106
Output number: 2, Rank-74: (1) 1 | (2) 3484 | (3)0.0287026/100 | (4) 186, 186 | (5) 8.12375 | (6) 138.779 | (7) 0.000112833 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40.5556/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (219691, 111941) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.0155 | (25) (0.49492, 108-117) | (26) 192946 | (27) -0.75474
Output number: 2, Rank-4: (1) 21 | (2) 2734 | (3)0.768105/100 | (4) 85, 85 | (5) 335.726 | (6) 10.2878 | (7) 7.0017e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 96.1111/100 | (15) 0 | (17) (85, 85) | (18) X | (19) (101316, 50367) | (20) 1 | (21) 1 | (22) 0 | (23) 10 | (24) 2826.07 | (25) (33.7687, 73-69) | (26) 1 | (27) 330.147
Output number: 2, Rank-39: (1) 4 | (2) 3485 | (3)0.114778/100 | (4) 193, 193 | (5) 8.85381 | (6) 133.274 | (7) 6.2676e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.4444/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (231614, 113747) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.7697 | (25) (0.41937, 47-21) | (26) 205090 | (27) -0.75198
Output number: 2, Rank-92: (1) 0 | (2) 3484 | (3)0/100 | (4) 185, 185 | (5) 7.98166 | (6) 136.934 | (7) 0.000109391 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (217191, 112665) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.5864 | (25) (0.52218, 34-100) | (26) 186153 | (27) -1.0192
Output number: 2, Rank-75: (1) 0 | (2) 3463 | (3)0/100 | (4) 184, 184 | (5) 8.09147 | (6) 134.814 | (7) 9.7917e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.4444/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (217430, 110758) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.4803 | (25) (0.4303, 83-130) | (26) 203643 | (27) -0.28042
Output number: 2, Rank-5: (1) 55 | (2) 3446 | (3)1.59605/100 | (4) 236, 236 | (5) 87.5118 | (6) 106.621 | (7) 0.000131628 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 53.8889/100 | (15) 0 | (17) (236, 236) | (18) X | (19) (233040, 125031) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 1498.94 | (25) (32.8935, 81-57) | (26) 1 | (27) 0.95524
Output number: 2, Rank-38: (1) 27 | (2) 3459 | (3)0.780572/100 | (4) 214, 214 | (5) 9.09759 | (6) 135.385 | (7) 0.000143374 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40/100 | (15) 0 | (17) (214, 214) | (18) X | (19) (251130, 125453) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 73.7465 | (25) (0.45423, 39-4) | (26) 204007 | (27) -1.69326
Output number: 2, Rank-93: (1) 2 | (2) 3487 | (3)0.0573559/100 | (4) 187, 187 | (5) 8.05299 | (6) 133.244 | (7) 5.3387e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.1667/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (217131, 113883) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.6283 | (25) (0.47783, 32-95) | (26) 189009 | (27) -0.33486
Output number: 2, Rank-76: (1) 0 | (2) 3463 | (3)0/100 | (4) 181, 181 | (5) 7.81981 | (6) 135.973 | (7) 0.000105358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.7222/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (216828, 108993) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.6017 | (25) (0.51308, 97-130) | (26) 196326 | (27) -1.40393e-12
Output number: 2, Rank-6: (1) 62 | (2) 3185 | (3)1.94662/100 | (4) 208, 208 | (5) 282.849 | (6) 28.2966 | (7) 8.9594e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 86.3889/100 | (15) 0 | (17) (208, 208) | (18) X | (19) (255586, 133689) | (20) 1 | (21) 0 | (22) 0 | (23) 30 | (24) 2828.55 | (25) (33.5122, 83-62) | (26) 1 | (27) 337.858
Output number: 2, Rank-23: (1) 8 | (2) 2722 | (3)0.293902/100 | (4) 71, 71 | (5) 281.703 | (6) 35.3672 | (7) 5.9646e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 88.0556/100 | (15) 0 | (17) (71, 71) | (18) X | (19) (86439, 39553) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 2326.76 | (25) (33.7867, 137-3) | (26) 1 | (27) 228.12
Output number: 2, Rank-40: (1) 0 | (2) 3460 | (3)0/100 | (4) 190, 190 | (5) 8.17292 | (6) 137.523 | (7) 8.237e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40.2778/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (227615, 111910) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.7376 | (25) (0.46434, 58-11) | (26) 221942 | (27) -0.6309
Output number: 2, Rank-85: (1) 0 | (2) 3482 | (3)0/100 | (4) 184, 184 | (5) 8.11626 | (6) 133.776 | (7) 0.000115071 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.1667/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (218272, 112020) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.1536 | (25) (0.48093, 10-91) | (26) 174364 | (27) -0.31371
Output number: 2, Rank-78: (1) 2 | (2) 3482 | (3)0.0574383/100 | (4) 181, 181 | (5) 7.95018 | (6) 135.755 | (7) 0.000115952 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.7222/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (214597, 108388) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 61.6021 | (25) (0.42424, 123-110) | (26) 172692 | (27) -0.7284
Output number: 2, Rank-42: (1) 48 | (2) 3481 | (3)1.37891/100 | (4) 237, 237 | (5) 8.9274 | (6) 134.628 | (7) 9.7872e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.7222/100 | (15) 0 | (17) (237, 237) | (18) X | (19) (243813, 127531) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 83.2001 | (25) (0.46343, 53-59) | (26) 56521 | (27) -1.12194
Output number: 2, Rank-96: (1) 8 | (2) 3482 | (3)0.229753/100 | (4) 195, 195 | (5) 7.96424 | (6) 135.234 | (7) 0.000108479 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.7222/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (220188, 117516) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 65.5686 | (25) (0.41614, 54-95) | (26) 1 | (27) -0.37383
Output number: 2, Rank-79: (1) 3 | (2) 3460 | (3)0.0867052/100 | (4) 189, 189 | (5) 8.26771 | (6) 136.97 | (7) 0.000122677 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40.2778/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (224920, 113102) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.6847 | (25) (0.48012, 139-112) | (26) 169144 | (27) -0.32148
Output number: 2, Rank-43: (1) 62 | (2) 3470 | (3)1.78674/100 | (4) 241, 241 | (5) 8.69737 | (6) 130.204 | (7) 0.000100187 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 38.3333/100 | (15) 0 | (17) (241, 241) | (18) X | (19) (224867, 121933) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.682 | (25) (24.5604, 43-76) | (26) 96583 | (27) -0.36582
Output number: 2, Rank-99: (1) 0 | (2) 3485 | (3)0/100 | (4) 188, 188 | (5) 8.24237 | (6) 132.198 | (7) 1.27e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 38.8889/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (220933, 114492) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.7792 | (25) (0.45372, 45-117) | (26) 193295 | (27) -1.01162
Output number: 2, Rank-80: (1) 86 | (2) 3449 | (3)2.49348/100 | (4) 272, 272 | (5) 49.8291 | (6) 114.656 | (7) 7.3965e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.5556/100 | (15) 0 | (17) (272, 272) | (18) X | (19) (299100, 158491) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1034.84 | (25) (33.2702, 132-136) | (26) 39821 | (27) -0.80239
Output number: 2, Rank-29: (1) 8 | (2) 2860 | (3)0.27972/100 | (4) 57, 57 | (5) 245.765 | (6) 53.6428 | (7) 5.7405e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 83.0556/100 | (15) 0 | (17) (57, 57) | (18) X | (19) (76294, 32533) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1865.28 | (25) (33.2094, 0-5) | (26) 582115 | (27) -1.08967
Output number: 2, Rank-100: (1) 0 | (2) 3484 | (3)0/100 | (4) 182, 182 | (5) 7.73124 | (6) 133.254 | (7) 7.8526e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 38.8889/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (211655, 110912) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.1006 | (25) (0.42197, 67-111) | (26) 14327 | (27) -0.36593
Output number: 2, Rank-62: (1) 0 | (2) 3474 | (3)0/100 | (4) 190, 190 | (5) 8.36021 | (6) 138.763 | (7) 0.000121399 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 40.8333/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (223172, 112114) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.1486 | (25) (0.46008, 125-67) | (26) 27159 | (27) -0.67566
Output number: 2, Rank-28: (1) 46 | (2) 3141 | (3)1.4645/100 | (4) 166, 166 | (5) 240.432 | (6) 45.7543 | (7) 0.000136397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 79.4444/100 | (15) 0 | (17) (166, 166) | (18) X | (19) (223931, 99819) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2020.85 | (25) (33.6786, 11-4) | (26) 1 | (27) 65.602
Output number: 2, Rank-105: (1) 111 | (2) 3242 | (3)3.42381/100 | (4) 268, 268 | (5) 253.77 | (6) 39.2004 | (7) 0.000255839 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 81.1111/100 | (15) 0 | (17) (268, 268) | (18) X | (19) (337611, 170343) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2589.01 | (25) (32.9533, 4-135) | (26) 1 | (27) 95.8573
Output number: 2, Rank-67: (1) 24 | (2) 1759 | (3)1.36441/100 | (4) 89, 89 | (5) 347.524 | (6) 4.82383 | (7) 0.000106287 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 97.7778/100 | (15) 0 | (17) (89, 89) | (18) X | (19) (154678, 64316) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2844.87 | (25) (33.471, 78-85) | (26) 2876 | (27) -1.02698
Output number: 2, Rank-45: (1) 40 | (2) 3028 | (3)1.321/100 | (4) 85, 85 | (5) 316.55 | (6) 18.1328 | (7) 7.5449e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 92.7778/100 | (15) 0 | (17) (85, 85) | (18) X | (19) (104089, 47330) | (20) 1 | (21) 1 | (22) 0 | (23) 4 | (24) 2814.95 | (25) (33.7187, 68-61) | (26) 1 | (27) 131.293
Output number: 2, Rank-91: (1) 139 | (2) 3421 | (3)4.06314/100 | (4) 322, 322 | (5) 63.0199 | (6) 113.615 | (7) 0.000249304 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.8889/100 | (15) 0 | (17) (322, 322) | (18) X | (19) (289544, 170815) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1648.74 | (25) (37.711, 58-82) | (26) 1 | (27) 97.3298
Output number: 2, Rank-81: (1) 87 | (2) 3445 | (3)2.5254/100 | (4) 273, 273 | (5) 17.3593 | (6) 124.63 | (7) 0.000132907 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.1667/100 | (15) 0 | (17) (273, 273) | (18) X | (19) (310482, 163141) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 320.186 | (25) (32.7853, 128-140) | (26) 140077 | (27) -0.2393
Output number: 2, Rank-33: (1) 68 | (2) 3356 | (3)2.02622/100 | (4) 249, 249 | (5) 160.091 | (6) 71.6503 | (7) 0.000252894 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 64.1667/100 | (15) 0 | (17) (249, 249) | (18) X | (19) (300642, 147504) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1822.5 | (25) (33.869, 7-14) | (26) 1 | (27) 32.3281
Output number: 2, Rank-95: (1) 15 | (2) 2823 | (3)0.53135/100 | (4) 88, 88 | (5) 341.943 | (6) 7.09669 | (7) 8.739e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 96.9444/100 | (15) 0 | (17) (88, 88) | (18) X | (19) (105909, 52040) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2884.22 | (25) (40.347, 64-74) | (26) 1 | (27) 163.08
Output number: 2, Rank-56: (1) 0 | (2) 3483 | (3)0/100 | (4) 190, 190 | (5) 8.16503 | (6) 133.719 | (7) 0.000120644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.1667/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (221818, 114380) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.9622 | (25) (0.50876, 111-100) | (26) 197052 | (27) -1.05554
Output number: 2, Rank-46: (1) 82 | (2) 3186 | (3)2.57376/100 | (4) 197, 197 | (5) 247.895 | (6) 41.7838 | (7) 9.9585e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 80.2778/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (276141, 142666) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 2818.17 | (25) (33.3643, 65-56) | (26) 1 | (27) 164.363
Output number: 2, Rank-106: (1) 63 | (2) 2935 | (3)2.14651/100 | (4) 180, 180 | (5) 287.677 | (6) 27.1529 | (7) 0.000110436 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 87.2222/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (236956, 111608) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2552.03 | (25) (33.6657, 12-134) | (26) 1 | (27) 98.9274
Output number: 2, Rank-57: (1) 0 | (2) 3481 | (3)0/100 | (4) 184, 184 | (5) 8.3352 | (6) 140.03 | (7) 0.000113319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 41.1111/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (219455, 110863) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.2725 | (25) (0.46976, 121-101) | (26) 185313 | (27) -0.68937
Output number: 2, Rank-48: (1) 51 | (2) 3472 | (3)1.46889/100 | (4) 229, 229 | (5) 20.8108 | (6) 132.318 | (7) 6.1642e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 42.5/100 | (15) 0 | (17) (229, 229) | (18) X | (19) (235224, 123119) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 671.112 | (25) (33.4728, 58-55) | (26) 1 | (27) -0.07073
Output number: 2, Rank-107: (1) 11 | (2) 2774 | (3)0.396539/100 | (4) 72, 72 | (5) 291.703 | (6) 29.1678 | (7) 4.431e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 88.8889/100 | (15) 0 | (17) (72, 72) | (18) X | (19) (89620, 41731) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2356.99 | (25) (33.6245, 5-139) | (26) 1 | (27) 32.3035
Output number: 2, Rank-58: (1) 0 | (2) 3477 | (3)0/100 | (4) 183, 183 | (5) 8.04153 | (6) 135.345 | (7) 0.000109382 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 39.7222/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (216174, 110166) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3222 | (25) (0.48565, 132-93) | (26) 201594 | (27) -0.32214
Output number: 2, Rank-22: (1) 64 | (2) 3160 | (3)2.02532/100 | (4) 201, 201 | (5) 268.649 | (6) 33.4084 | (7) 0.000112488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 83.8889/100 | (15) 0 | (17) (201, 201) | (18) X | (19) (272566, 124540) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2547.94 | (25) (33.7386, 134-4) | (26) 1 | (27) 33.5216
Output number: 2, Rank-44: (1) 146 | (2) 3072 | (3)4.7526/100 | (4) 164, 164 | (5) 263.495 | (6) 36.3939 | (7) 0.000107667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 83.0556/100 | (15) 0 | (17) (164, 164) | (18) X | (19) (310961, 154628) | (20) 1 | (21) 1 | (22) 0 | (23) 10 | (24) 2731.14 | (25) (33.7517, 60-72) | (26) 1 | (27) 167.453
Output number: 2, Rank-69: (1) 81 | (2) 2916 | (3)2.77778/100 | (4) 227, 227 | (5) 320.166 | (6) 14.5559 | (7) 0.00011483 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 92.7778/100 | (15) 0 | (17) (227, 227) | (18) X | (19) (276037, 142334) | (20) 1 | (21) 0 | (22) 0 | (23) 15 | (24) 2820.98 | (25) (33.1464, 81-78) | (26) 1 | (27) 455.449
Output number: 2, Rank-30: (1) 68 | (2) 3275 | (3)2.07634/100 | (4) 229, 229 | (5) 204.533 | (6) 58.2536 | (7) 7.0098e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 72.7778/100 | (15) 0 | (17) (229, 229) | (18) X | (19) (280920, 135151) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1896.04 | (25) (33.4857, 7-11) | (26) 1 | (27) 98.0158
Output number: 2, Rank-82: (1) 55 | (2) 2896 | (3)1.89917/100 | (4) 60, 60 | (5) 256.278 | (6) 45.4139 | (7) 0.000137455 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 83.6111/100 | (15) 0 | (17) (60, 60) | (18) X | (19) (114429, 39102) | (20) 1 | (21) 1 | (22) 0 | (23) 2 | (24) 1898.49 | (25) (33.6295, 133-138) | (26) 1 | (27) 64.8756
Output number: 2, Rank-94: (1) 37 | (2) 2760 | (3)1.34058/100 | (4) 93, 93 | (5) 332.134 | (6) 10.6253 | (7) 0.000107782 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 95/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (146356, 61942) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2817.84 | (25) (33.5284, 60-80) | (26) 1 | (27) -0.37037
Output number: 2, Rank-77: (1) 88 | (2) 3184 | (3)2.76382/100 | (4) 254, 254 | (5) 245.759 | (6) 40.5255 | (7) 0.000136941 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 79.4444/100 | (15) 0 | (17) (254, 254) | (18) X | (19) (317441, 158027) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2276.7 | (25) (33.2222, 138-135) | (26) 1 | (27) 161.71
Output number: 2, Rank-66: (1) 8 | (2) 2031 | (3)0.393895/100 | (4) 90, 90 | (5) 353.934 | (6) 2.35091 | (7) 0.00013547 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 98.8889/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (106918, 53737) | (20) 1 | (21) 0 | (22) 0 | (23) 70 | (24) 2980.51 | (25) (33.8188, 79-70) | (26) 1 | (27) 2318.03
Output number: 3, Rank-19: (1) 0 | (2) 5251 | (3)0/100 | (4) 189, 189 | (5) 12.8275 | (6) 204.145 | (7) 0.000271133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (344920, 120474) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.2395 | (25) (0.47889, 130-54) | (26) 5869 | (27) -0.63249
Output number: 3, Rank-2: (1) 3 | (2) 5248 | (3)0.0571646/100 | (4) 187, 187 | (5) 12.2943 | (6) 204.162 | (7) 0.000245635 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (330753, 117687) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.7615 | (25) (0.40351, 94-50) | (26) 59866 | (27) -0.3178
