#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 12, Rank-13: (1) 112 | (2) 14532 | (3)0.770713/100 | (4) 857, 857 | (5) 1456.9 | (6) 171.46 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2160.01 | (14) 75.3704/100 | (15) 0 | (17) (857, 857) | (18) X | (19) (2911426, 188611) | (20) 1 | (21) 1 | (22) 0 | (23) 5 | (24) 5508.09 | (25) (33.684, 143-134) | (26) 1 | (27) 33.9359
Output number: 13, Rank-20: (1) 6 | (2) 18236 | (3)0.032902/100 | (4) 219, 219 | (5) 1321.06 | (6) 333.873 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 70.6838/100 | (15) 0 | (17) (219, 219) | (18) X | (19) (817734, 47887) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4057.74 | (25) (34.0123, 6-1) | (26) 459 | (27) -0.68046
Output number: 13, Rank-21: (1) 2 | (2) 23231 | (3)0.00860919/100 | (4) 735, 735 | (5) 104.513 | (6) 701.584 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 34.4444/100 | (15) 0 | (17) (735, 735) | (18) X | (19) (2611222, 160965) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 274.153 | (25) (3.78326, 133-47) | (26) 119846 | (27) -0.40003
Output number: 13, Rank-15: (1) 79 | (2) 20205 | (3)0.390992/100 | (4) 198, 198 | (5) 1623.21 | (6) 219.001 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 78.7179/100 | (15) 0 | (17) (198, 198) | (18) X | (19) (671646, 43323) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5188.68 | (25) (35.4394, 52-71) | (26) 32645 | (27) -0.3766
Output number: 13, Rank-25: (1) 4 | (2) 15242 | (3)0.0262433/100 | (4) 196, 196 | (5) 1085.37 | (6) 425.784 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 64.5726/100 | (15) 0 | (17) (196, 196) | (18) X | (19) (731112, 42881) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3319.47 | (25) (33.8117, 140-19) | (26) 1841 | (27) -0.73633
Output number: 13, Rank-26: (1) 21 | (2) 23247 | (3)0.0903342/100 | (4) 766, 766 | (5) 107.841 | (6) 713.696 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 35.0855/100 | (15) 0 | (17) (766, 766) | (18) X | (19) (2692369, 167726) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 284.466 | (25) (0.55246, 73-26) | (26) 63187 | (27) -0.68568
Output number: 13, Rank-18: (1) 246 | (2) 23054 | (3)1.06706/100 | (4) 985, 985 | (5) 316.572 | (6) 528.305 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 36.0684/100 | (15) 0 | (17) (985, 985) | (18) X | (19) (3514578, 215076) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1090.13 | (25) (33.7124, 15-1) | (26) 594 | (27) 0.04088
Output number: 13, Rank-8: (1) 316 | (2) 1209 | (3)26.1373/100 | (4) 1044, 1044 | (5) 1736.74 | (6) 137.134 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 80.0427/100 | (15) 0 | (17) (1044, 1044) | (18) X | (19) (3712445, 228119) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 6471.22 | (25) (33.6052, 84-80) | (26) 1 | (27) 101.202
Output number: 13, Rank-12: (1) 5 | (2) 23075 | (3)0.0216685/100 | (4) 755, 755 | (5) 109.924 | (6) 695.736 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 34.4017/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (2703488, 164590) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 294.583 | (25) (2.39563, 143-104) | (26) 699423 | (27) -0.64283
Output number: 13, Rank-22: (1) 137 | (2) 21135 | (3)0.648214/100 | (4) 870, 870 | (5) 1143.14 | (6) 315.431 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 62.3077/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (3086596, 190221) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3505.81 | (25) (33.8056, 78-73) | (26) 1532 | (27) -0.95632
Output number: 13, Rank-4: (1) 129 | (2) 23127 | (3)0.55779/100 | (4) 863, 863 | (5) 263.495 | (6) 608.037 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 37.2222/100 | (15) 0 | (17) (863, 863) | (18) X | (19) (3076779, 188820) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1083.78 | (25) (38.4127, 18-139) | (26) 723 | (27) -0.23802
Output number: 13, Rank-3: (1) 100 | (2) 23196 | (3)0.431109/100 | (4) 833, 833 | (5) 119.876 | (6) 656.635 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 33.1624/100 | (15) 0 | (17) (833, 833) | (18) X | (19) (2973549, 182280) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 406.541 | (25) (2.50192, 32-133) | (26) 20213 | (27) -1.37605
Output number: 13, Rank-17: (1) 276 | (2) 23126 | (3)1.19346/100 | (4) 1015, 1015 | (5) 144.973 | (6) 624.378 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 32.8632/100 | (15) 0 | (17) (1015, 1015) | (18) X | (19) (3550324, 221701) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 387.175 | (25) (0.5778, 74-45) | (26) 857 | (27) 0.04082
Output number: 13, Rank-2: (1) 254 | (2) 23032 | (3)1.10281/100 | (4) 981, 981 | (5) 335.527 | (6) 561.843 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 38.3333/100 | (15) 0 | (17) (981, 981) | (18) X | (19) (3211172, 214607) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2520.33 | (25) (33.6142, 57-78) | (26) 29799 | (27) -0.71224
Output number: 13, Rank-14: (1) 455 | (2) 23045 | (3)1.9744/100 | (4) 1207, 1207 | (5) 206.21 | (6) 531.432 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 31.4957/100 | (15) 0 | (17) (1207, 1207) | (18) X | (19) (3707780, 263852) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1374.74 | (25) (34.2137, 63-55) | (26) 363 | (27) -1.42778
Output number: 13, Rank-11: (1) 164 | (2) 23161 | (3)0.708087/100 | (4) 898, 898 | (5) 129.519 | (6) 623.631 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 32.1795/100 | (15) 0 | (17) (898, 898) | (18) X | (19) (3209151, 196108) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 335.966 | (25) (0.58271, 73-125) | (26) 21078 | (27) -0.26049
Output number: 13, Rank-5: (1) 279 | (2) 466 | (3)59.8712/100 | (4) 984, 984 | (5) 1549.71 | (6) 191.446 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 74.4017/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (3592692, 215318) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 5783.01 | (25) (34.0916, 12-134) | (26) 1 | (27) 133.539
Output number: 13, Rank-1: (1) 425 | (2) 13803 | (3)3.07904/100 | (4) 1062, 1062 | (5) 1751.88 | (6) 109.421 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 79.5299/100 | (15) 0 | (17) (1062, 1062) | (18) X | (19) (3794923, 232352) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 5974.96 | (25) (34.9761, 54-67) | (26) 1 | (27) 200.219
Output number: 13, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1070, 1070 | (5) 1193.9 | (6) 278.956 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 62.906/100 | (15) 0 | (17) (1070, 1070) | (18) X | (19) (3817778, 234344) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 4901.26 | (25) (38.9391, 134-9) | (26) 1 | (27) 197.153
Output number: 13, Rank-16: (1) 192 | (2) 16620 | (3)1.15523/100 | (4) 444, 444 | (5) 2001.93 | (6) 72.9624 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 88.6325/100 | (15) 0 | (17) (444, 444) | (18) X | (19) (2254136, 97058) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 6928.84 | (25) (34.1295, 66-58) | (26) 1 | (27) 233.489
Output number: 13, Rank-6: (1) 12 | (2) 4815 | (3)0.249221/100 | (4) 283, 283 | (5) 1510.51 | (6) 267.995 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 75.9829/100 | (15) 0 | (17) (283, 283) | (18) X | (19) (1039958, 61863) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 4823.57 | (25) (33.832, 2-142) | (26) 1 | (27) 33.6883
Output number: 13, Rank-13: (1) 112 | (2) 15932 | (3)0.702988/100 | (4) 857, 857 | (5) 1579.77 | (6) 184.964 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 75.3846/100 | (15) 0 | (17) (857, 857) | (18) X | (19) (3098372, 186946) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 5722.84 | (25) (37.9083, 141-142) | (26) 1 | (27) 36.9233
Output number: 13, Rank-27: (1) 241 | (2) 18208 | (3)1.32359/100 | (4) 956, 956 | (5) 990.954 | (6) 331.716 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 56.4957/100 | (15) 0 | (17) (956, 956) | (18) X | (19) (3403876, 209283) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3269.79 | (25) (35.0639, 142-7) | (26) 1 | (27) 32.6304
Output number: 13, Rank-0: (1) 87 | (2) 299 | (3)29.097/100 | (4) 428, 428 | (5) 1846.96 | (6) 140.52 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 84.9145/100 | (15) 0 | (17) (428, 428) | (18) X | (19) (1756052, 93683) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 5994.88 | (25) (33.9071, 53-84) | (26) 1 | (27) 31.0514
Output number: 13, Rank-7: (1) 142 | (2) 22456 | (3)0.632348/100 | (4) 874, 874 | (5) 1025.34 | (6) 328.328 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 57.8205/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (3098717, 191041) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3361.55 | (25) (33.9709, 72-90) | (26) 1 | (27) -0.71022
Output number: 13, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 861, 861 | (5) 1656.26 | (6) 158.679 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340 | (14) 77.5214/100 | (15) 0 | (17) (861, 861) | (18) X | (19) (3117476, 188513) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 6311.2 | (25) (36.5676, 8-5) | (26) 1 | (27) 165.82
Output number: 13, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 653, 653 | (5) 2305.77 | (6) 11.1122 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340.01 | (14) 98.9744/100 | (15) 0 | (17) (653, 653) | (18) X | (19) (2455566, 142837) | (20) 1 | (21) 0 | (22) 0 | (23) 166 | (24) 8149.17 | (25) (34.9038, 88-54) | (26) 1 | (27) 3087.63
Output number: 13, Rank-9: (1) 49 | (2) 4600 | (3)1.06522/100 | (4) 204, 204 | (5) 1768.24 | (6) 180.863 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340.01 | (14) 83.2906/100 | (15) 0 | (17) (204, 204) | (18) X | (19) (730069, 44630) | (20) 1 | (21) 1 | (22) 0 | (23) 9 | (24) 5825.25 | (25) (36.3364, 66-78) | (26) 1 | (27) 282.841
Output number: 13, Rank-10: (1) 3 | (2) 15261 | (3)0.019658/100 | (4) 495, 495 | (5) 1584.11 | (6) 237.015 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2340.01 | (14) 77.8205/100 | (15) 0 | (17) (495, 495) | (18) X | (19) (1789365, 108087) | (20) 1 | (21) 1 | (22) 0 | (23) 4 | (24) 5487.35 | (25) (38.1177, 136-143) | (26) 1 | (27) 130.867
Output number: 14, Rank-20: (1) 6 | (2) 19998 | (3)0.030003/100 | (4) 219, 219 | (5) 1408.38 | (6) 364.647 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 70.3571/100 | (15) 0 | (17) (219, 219) | (18) X | (19) (864142, 46408) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4169.57 | (25) (38.1583, 4-9) | (26) 6446 | (27) -0.68046
Output number: 14, Rank-13: (1) 113 | (2) 17313 | (3)0.652689/100 | (4) 858, 858 | (5) 1702.51 | (6) 198.966 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 75.4365/100 | (15) 0 | (17) (858, 858) | (18) X | (19) (3280200, 181828) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6200.45 | (25) (33.7376, 137-136) | (26) 42539 | (27) -0.60661
Output number: 14, Rank-18: (1) 247 | (2) 24836 | (3)0.994524/100 | (4) 986, 986 | (5) 341.111 | (6) 570.063 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 36.1508/100 | (15) 0 | (17) (986, 986) | (18) X | (19) (3723454, 208876) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1122.22 | (25) (33.6719, 16-3) | (26) 7929 | (27) -0.33646
Output number: 14, Rank-21: (1) 2 | (2) 25023 | (3)0.00799265/100 | (4) 735, 735 | (5) 110.839 | (6) 756.073 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 34.3651/100 | (15) 0 | (17) (735, 735) | (18) X | (19) (2766930, 155708) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 270.669 | (25) (0.55805, 138-43) | (26) 42444 | (27) 0.02341
Output number: 14, Rank-15: (1) 84 | (2) 21858 | (3)0.384299/100 | (4) 203, 203 | (5) 1734.95 | (6) 240.54 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 78.373/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (714195, 42549) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 5507.46 | (25) (45.4162, 52-71) | (26) 1 | (27) 232.43
Output number: 14, Rank-25: (1) 4 | (2) 17001 | (3)0.023528/100 | (4) 196, 196 | (5) 1157.07 | (6) 462.133 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 64.246/100 | (15) 0 | (17) (196, 196) | (18) X | (19) (772626, 41514) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3460.98 | (25) (38.4178, 141-9) | (26) 12236 | (27) -0.73633
Output number: 14, Rank-26: (1) 21 | (2) 25040 | (3)0.0838658/100 | (4) 766, 766 | (5) 114.436 | (6) 769.368 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 35.0397/100 | (15) 0 | (17) (766, 766) | (18) X | (19) (2855010, 162641) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 327.193 | (25) (2.37414, 77-36) | (26) 116285 | (27) -0.68568
Output number: 14, Rank-2: (1) 255 | (2) 24792 | (3)1.02856/100 | (4) 982, 982 | (5) 392.394 | (6) 594.428 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 39.127/100 | (15) 0 | (17) (982, 982) | (18) X | (19) (3419059, 207887) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2755.23 | (25) (33.5485, 56-78) | (26) 1810 | (27) -0.71224
Output number: 14, Rank-11: (1) 164 | (2) 24951 | (3)0.657288/100 | (4) 898, 898 | (5) 137.285 | (6) 670.549 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 32.0238/100 | (15) 0 | (17) (898, 898) | (18) X | (19) (3399333, 190182) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 336.236 | (25) (0.54156, 88-141) | (26) 28089 | (27) -0.26049
Output number: 14, Rank-22: (1) 137 | (2) 22767 | (3)0.601748/100 | (4) 870, 870 | (5) 1217.5 | (6) 344.619 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 61.9841/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (3270648, 184052) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3495.06 | (25) (34.1739, 81-73) | (26) 13252 | (27) -0.95632
Output number: 14, Rank-4: (1) 129 | (2) 24912 | (3)0.517823/100 | (4) 863, 863 | (5) 285.284 | (6) 656.587 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 37.3413/100 | (15) 0 | (17) (863, 863) | (18) X | (19) (3259268, 182489) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1063.52 | (25) (33.6733, 20-141) | (26) 1728 | (27) -0.23802
Output number: 14, Rank-3: (1) 100 | (2) 24988 | (3)0.400192/100 | (4) 833, 833 | (5) 127.072 | (6) 707.859 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 33.0952/100 | (15) 0 | (17) (833, 833) | (18) X | (19) (3149502, 175953) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 584.662 | (25) (2.45088, 35-111) | (26) 3436 | (27) -1.37605
Output number: 14, Rank-17: (1) 283 | (2) 24911 | (3)1.13604/100 | (4) 1022, 1022 | (5) 157.704 | (6) 671.412 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 32.8968/100 | (15) 0 | (17) (1022, 1022) | (18) X | (19) (3766839, 216515) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 648.569 | (25) (33.2157, 61-51) | (26) 32206 | (27) -0.36415
Output number: 14, Rank-14: (1) 455 | (2) 24819 | (3)1.83327/100 | (4) 1207, 1207 | (5) 240.235 | (6) 564.115 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 31.9048/100 | (15) 0 | (17) (1207, 1207) | (18) X | (19) (3963598, 255818) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 1670.17 | (25) (34.0821, 63-55) | (26) 2303 | (27) -1.84198
Output number: 14, Rank-27: (1) 242 | (2) 19961 | (3)1.21236/100 | (4) 957, 957 | (5) 1061.82 | (6) 357.538 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 56.3095/100 | (15) 0 | (17) (957, 957) | (18) X | (19) (3607045, 203169) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3336.64 | (25) (34.8017, 131-3) | (26) 1 | (27) 65.6662
Output number: 14, Rank-16: (1) 195 | (2) 18191 | (3)1.07196/100 | (4) 446, 446 | (5) 2154.89 | (6) 79.7686 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 88.6508/100 | (15) 0 | (17) (446, 446) | (18) X | (19) (2348066, 93930) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 7487.14 | (25) (33.9818, 66-58) | (26) 1 | (27) 266.074
Output number: 14, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 860, 860 | (5) 1795.18 | (6) 168.348 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 77.8968/100 | (15) 0 | (17) (860, 860) | (18) X | (19) (3299726, 182250) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 6705.54 | (25) (35.0168, 9-12) | (26) 1 | (27) 266.203
Output number: 14, Rank-6: (1) 12 | (2) 6510 | (3)0.184332/100 | (4) 283, 283 | (5) 1613.58 | (6) 291.76 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 75.5952/100 | (15) 0 | (17) (283, 283) | (18) X | (19) (1099862, 59904) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 4945.44 | (25) (38.3843, 8-135) | (26) 1 | (27) 65.13
Output number: 14, Rank-0: (1) 87 | (2) 303 | (3)28.7129/100 | (4) 427, 427 | (5) 1981.03 | (6) 154.252 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 84.7222/100 | (15) 0 | (17) (427, 427) | (18) X | (19) (1846441, 90389) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 6578.05 | (25) (38.9332, 53-84) | (26) 1 | (27) 136.999
Output number: 14, Rank-8: (1) 316 | (2) 1209 | (3)26.1373/100 | (4) 1035, 1035 | (5) 1879.22 | (6) 145.895 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 80.3571/100 | (15) 0 | (17) (1035, 1035) | (18) X | (19) (3932705, 220260) | (20) 1 | (21) 0 | (22) 0 | (23) 19 | (24) 6762.7 | (25) (34.8769, 88-85) | (26) 1 | (27) 428.768
Output number: 14, Rank-9: (1) 57 | (2) 5297 | (3)1.07608/100 | (4) 212, 212 | (5) 1898.63 | (6) 196.239 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 83.0952/100 | (15) 0 | (17) (212, 212) | (18) X | (19) (773826, 43757) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 6544.44 | (25) (41.0953, 68-81) | (26) 1 | (27) 112.759
Output number: 14, Rank-5: (1) 279 | (2) 466 | (3)59.8712/100 | (4) 984, 984 | (5) 1676.41 | (6) 204.738 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 74.6429/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (3801118, 208426) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 6104.76 | (25) (33.8036, 12-134) | (26) 1 | (27) 99.6492
Output number: 14, Rank-1: (1) 426 | (2) 15370 | (3)2.77163/100 | (4) 1063, 1063 | (5) 1884.76 | (6) 117.732 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 79.4444/100 | (15) 0 | (17) (1063, 1063) | (18) X | (19) (4020076, 225153) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 6394.3 | (25) (34.7499, 68-59) | (26) 1 | (27) 32.8003
Output number: 14, Rank-12: (1) 5 | (2) 24859 | (3)0.0201134/100 | (4) 755, 755 | (5) 116.497 | (6) 749.9 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 34.3651/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (2863548, 160060) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 571.241 | (25) (2.46911, 115-94) | (26) 494416 | (27) -0.64283
Output number: 14, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1069, 1069 | (5) 1301.12 | (6) 296.578 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520 | (14) 63.373/100 | (15) 0 | (17) (1069, 1069) | (18) X | (19) (4044410, 226632) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 5421.52 | (25) (33.7646, 135-9) | (26) 1 | (27) 296.91
Output number: 14, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 638, 638 | (5) 2484.46 | (6) 11.6006 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520.01 | (14) 99.0476/100 | (15) 0 | (17) (638, 638) | (18) X | (19) (2591811, 136245) | (20) 1 | (21) 0 | (22) 0 | (23) 162 | (24) 8797.33 | (25) (61.5403, 88-71) | (26) 1 | (27) 3120.53
Output number: 14, Rank-10: (1) 3 | (2) 16684 | (3)0.0179813/100 | (4) 495, 495 | (5) 1703.22 | (6) 256.076 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520.01 | (14) 77.7381/100 | (15) 0 | (17) (495, 495) | (18) X | (19) (1894209, 104844) | (20) 1 | (21) 1 | (22) 0 | (23) 6 | (24) 5802.06 | (25) (38.2053, 132-132) | (26) 1 | (27) 207.37
