#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.44863 seconds
Distributing the actor graph took: 42.1073 seconds
Added actors in: 0.116455 seconds.
Initialized connections of actors in: 0.0522152 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 23 | (2) 435 | (3)5.28736/100 | (4) 18, 18 | (5) 17.9686 | (6) 69.9332 | (7) 0.000371078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (67384, 67384) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 136.298 | (25) (32.9184, 67-57)
Output number: 2, Rank-811: (1) 40 | (2) 504 | (3)7.93651/100 | (4) 16, 16 | (5) 37.9887 | (6) 136.794 | (7) 0.000318546 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.3333/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (44356, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.883 | (25) (33.6153, 74-62)
Output number: 2, Rank-598: (1) 46 | (2) 485 | (3)9.48454/100 | (4) 12, 12 | (5) 41.3455 | (6) 138.64 | (7) 0.000341242 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 49.7222/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (34832, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.563 | (25) (33.7631, 80-81)
Output number: 2, Rank-278: (1) 46 | (2) 553 | (3)8.31826/100 | (4) 32, 32 | (5) 27.5475 | (6) 140.113 | (7) 0.000325616 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.3889/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (94803, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.551 | (25) (33.3412, 61-74)
Output number: 2, Rank-120: (1) 15 | (2) 3468 | (3)0.432526/100 | (4) 37, 37 | (5) 8.3787 | (6) 149.616 | (7) 0.000211112 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 43.6111/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (78499, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.444 | (25) (33.5227, 59-58)
Output number: 2, Rank-895: (1) 34 | (2) 3462 | (3)0.982091/100 | (4) 17, 17 | (5) 28.1919 | (6) 143.217 | (7) 0.000292213 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.5/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (62106, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.375 | (25) (33.9499, 61-64)
Output number: 2, Rank-88: (1) 34 | (2) 3513 | (3)0.967834/100 | (4) 10, 10 | (5) 23.4893 | (6) 150.608 | (7) 0.000284427 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.3333/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (79455, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.802 | (25) (33.3843, 141-7)
Output number: 2, Rank-335: (1) 36 | (2) 3388 | (3)1.06257/100 | (4) 30, 30 | (5) 19.3326 | (6) 143.847 | (7) 0.000332966 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.2778/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (87949, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.965 | (25) (33.587, 72-79)
Output number: 2, Rank-710: (1) 28 | (2) 485 | (3)5.7732/100 | (4) 33, 33 | (5) 8.46125 | (6) 146.545 | (7) 0.000330561 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 43.0556/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (78839, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 84.0891 | (25) (35.9276, 64-74)
Output number: 2, Rank-640: (1) 24 | (2) 3442 | (3)0.697269/100 | (4) 37, 37 | (5) 11.4803 | (6) 148.031 | (7) 0.000317029 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.1667/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (85297, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 80.8471 | (25) (34.172, 83-66)
Output number: 2, Rank-841: (1) 25 | (2) 3490 | (3)0.716332/100 | (4) 16, 16 | (5) 18.4956 | (6) 148.405 | (7) 0.000322631 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.1111/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (62851, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.229 | (25) (33.3786, 127-141)
Output number: 2, Rank-839: (1) 39 | (2) 470 | (3)8.29787/100 | (4) 7, 7 | (5) 28.3478 | (6) 146.227 | (7) 0.000308706 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.3333/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (38424, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 102.375 | (25) (33.8658, 73-71)
Output number: 2, Rank-282: (1) 28 | (2) 3512 | (3)0.797267/100 | (4) 29, 29 | (5) 17.4541 | (6) 147.472 | (7) 0.000382752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.5556/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (88093, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.683 | (25) (33.565, 18-2)
Output number: 2, Rank-365: (1) 41 | (2) 521 | (3)7.86948/100 | (4) 19, 19 | (5) 28.1342 | (6) 140.994 | (7) 0.00033741 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.9444/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (80407, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.718 | (25) (32.9587, 70-68)
Output number: 2, Rank-142: (1) 25 | (2) 3365 | (3)0.742942/100 | (4) 34, 34 | (5) 13.291 | (6) 148.675 | (7) 0.000311498 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.7222/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (79903, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 112.38 | (25) (33.4528, 86-90)
Output number: 2, Rank-535: (1) 26 | (2) 3364 | (3)0.772889/100 | (4) 27, 27 | (5) 16.0323 | (6) 147.284 | (7) 0.000286086 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.2778/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (79941, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.933 | (25) (33.8989, 11-130)
Output number: 2, Rank-498: (1) 33 | (2) 3499 | (3)0.943127/100 | (4) 41, 41 | (5) 17.0042 | (6) 143.803 | (7) 0.000315383 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.4444/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (97053, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 117.362 | (25) (34.1242, 9-139)
Output number: 2, Rank-444: (1) 39 | (2) 3488 | (3)1.11812/100 | (4) 18, 18 | (5) 39.8772 | (6) 139.568 | (7) 0.000390255 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 49.7222/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (36976, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.276 | (25) (32.9004, 13-1)
Output number: 2, Rank-344: (1) 21 | (2) 3443 | (3)0.609933/100 | (4) 44, 44 | (5) 3.12092 | (6) 151.018 | (7) 0.000270976 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 42.7778/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (86172, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 17.3099 | (25) (0.47009, 101-128)
Output number: 2, Rank-37: (1) 42 | (2) 3441 | (3)1.22058/100 | (4) 26, 26 | (5) 19.0148 | (6) 144.074 | (7) 0.000228954 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.2778/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (69861, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 110.035 | (25) (33.8029, 138-2)
Output number: 2, Rank-645: (1) 33 | (2) 458 | (3)7.20524/100 | (4) 20, 20 | (5) 19.3064 | (6) 147.057 | (7) 0.00024091 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.1111/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (71850, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 113.168 | (25) (35.6236, 64-71)
Output number: 2, Rank-56: (1) 50 | (2) 468 | (3)10.6838/100 | (4) 19, 19 | (5) 50.7564 | (6) 130.381 | (7) 0.000305869 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 50.2778/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (29453, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 140.916 | (25) (35.7869, 118-7)
Output number: 2, Rank-582: (1) 36 | (2) 382 | (3)9.42408/100 | (4) 20, 20 | (5) 27.0314 | (6) 139.885 | (7) 0.000350445 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.1111/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (81223, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.454 | (25) (34.1454, 53-72)
Output number: 2, Rank-755: (1) 30 | (2) 3457 | (3)0.867804/100 | (4) 39, 39 | (5) 19.6392 | (6) 141.437 | (7) 0.000297032 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.7222/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (98411, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 115.046 | (25) (34.1217, 126-142)
Output number: 2, Rank-515: (1) 39 | (2) 396 | (3)9.84848/100 | (4) 16, 16 | (5) 31.2912 | (6) 137.267 | (7) 0.000294124 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.6667/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (55713, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 135.508 | (25) (32.7984, 6-134)
Output number: 2, Rank-247: (1) 35 | (2) 532 | (3)6.57895/100 | (4) 29, 29 | (5) 25.4451 | (6) 141.643 | (7) 0.000286611 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.3889/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (83942, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.703 | (25) (33.4025, 86-65)
Output number: 2, Rank-419: (1) 36 | (2) 549 | (3)6.55738/100 | (4) 29, 29 | (5) 27.382 | (6) 140.579 | (7) 0.000220029 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.3889/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (80944, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.45 | (25) (33.8545, 10-6)
Output number: 2, Rank-466: (1) 42 | (2) 534 | (3)7.86517/100 | (4) 31, 31 | (5) 14.5073 | (6) 147.012 | (7) 0.000259338 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.7222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (104961, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 117.534 | (25) (36.0642, 79-69)
Output number: 2, Rank-197: (1) 38 | (2) 3396 | (3)1.11896/100 | (4) 14, 14 | (5) 51.4334 | (6) 130.458 | (7) 0.000255238 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 50.2778/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (29535, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.749 | (25) (33.297, 56-85)
Output number: 2, Rank-760: (1) 60 | (2) 3474 | (3)1.72712/100 | (4) 11, 11 | (5) 42.8577 | (6) 139.792 | (7) 0.000386141 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 50.5556/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (35602, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.83 | (25) (33.7323, 128-142)
Output number: 2, Rank-178: (1) 43 | (2) 3446 | (3)1.24782/100 | (4) 7, 7 | (5) 31.7371 | (6) 148.427 | (7) 0.000277081 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 50/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (52994, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 100.873 | (25) (33.3062, 11-12)
Output number: 2, Rank-691: (1) 30 | (2) 3451 | (3)0.869313/100 | (4) 52, 52 | (5) 4.21665 | (6) 147.407 | (7) 0.000333949 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 41.9444/100 | (15) 0 | (17) (52, 52) | (18) X | (19) (94504, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 55.5604 | (25) (34.4569, 12-137)
Output number: 2, Rank-784: (1) 37 | (2) 480 | (3)7.70833/100 | (4) 11, 11 | (5) 50.7232 | (6) 133.058 | (7) 0.000312838 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 50.8333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (31983, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.028 | (25) (33.8974, 55-65)
Output number: 2, Rank-590: (1) 49 | (2) 3477 | (3)1.40926/100 | (4) 7, 7 | (5) 40.9899 | (6) 145.009 | (7) 0.000321621 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 51.3889/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (47980, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.122 | (25) (33.4043, 62-77)
Output number: 2, Rank-254: (1) 53 | (2) 424 | (3)12.5/100 | (4) 13, 13 | (5) 51.5495 | (6) 131.95 | (7) 0.000320165 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 50.8333/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (29095, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.703 | (25) (33.3879, 85-85)
Output number: 2, Rank-882: (1) 39 | (2) 3462 | (3)1.12652/100 | (4) 8, 8 | (5) 34.7083 | (6) 150.414 | (7) 0.000296186 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 51.3889/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (62015, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.71 | (25) (33.7809, 66-80)
Output number: 2, Rank-90: (1) 41 | (2) 3505 | (3)1.16976/100 | (4) 9, 9 | (5) 24.7488 | (6) 150.937 | (7) 0.000301827 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.6111/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (72061, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.444 | (25) (34.7495, 136-6)
Output number: 2, Rank-309: (1) 5 | (2) 3282 | (3)0.152346/100 | (4) 28, 28 | (5) 5.32953 | (6) 152.801 | (7) 0.000241234 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 43.8889/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (74732, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 73.2384 | (25) (33.3429, 59-90)
Output number: 2, Rank-700: (1) 34 | (2) 3501 | (3)0.971151/100 | (4) 25, 25 | (5) 17.5075 | (6) 147.337 | (7) 0.00029432 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.5556/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (97694, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.873 | (25) (33.4939, 81-90)
Output number: 2, Rank-641: (1) 19 | (2) 421 | (3)4.51306/100 | (4) 23, 23 | (5) 16.022 | (6) 146.4 | (7) 0.000318097 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (67038, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.821 | (25) (34.1082, 67-72)
Output number: 2, Rank-842: (1) 34 | (2) 3462 | (3)0.982091/100 | (4) 43, 43 | (5) 17.3189 | (6) 144.039 | (7) 0.00031028 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.7222/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (91407, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 114.075 | (25) (33.2828, 137-139)
Output number: 2, Rank-812: (1) 48 | (2) 533 | (3)9.00563/100 | (4) 25, 25 | (5) 27.1453 | (6) 139.191 | (7) 0.000321297 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.1111/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (69858, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 78.1387 | (25) (34.3343, 55-83)
Output number: 2, Rank-171: (1) 32 | (2) 476 | (3)6.72269/100 | (4) 7, 7 | (5) 19.9369 | (6) 147.912 | (7) 0.000243096 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.3889/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (60949, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 133.073 | (25) (33.3753, 69-83)
Output number: 2, Rank-697: (1) 28 | (2) 3451 | (3)0.811359/100 | (4) 17, 17 | (5) 18.4574 | (6) 151.946 | (7) 0.000222663 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.2222/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (79699, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.128 | (25) (33.7043, 132-141)
Output number: 2, Rank-785: (1) 48 | (2) 441 | (3)10.8844/100 | (4) 14, 14 | (5) 42.6826 | (6) 134.917 | (7) 0.000275983 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 49.1667/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (41095, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.313 | (25) (33.6067, 83-79)
Output number: 2, Rank-592: (1) 48 | (2) 484 | (3)9.91736/100 | (4) 14, 14 | (5) 40.8738 | (6) 133.06 | (7) 0.000294861 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.0556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (39768, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.933 | (25) (34.4329, 78-63)
Output number: 2, Rank-272: (1) 42 | (2) 495 | (3)8.48485/100 | (4) 32, 32 | (5) 24.1531 | (6) 150.78 | (7) 0.000331159 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.3333/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (76823, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 112.299 | (25) (33.7858, 68-61)
Output number: 2, Rank-868: (1) 33 | (2) 3441 | (3)0.959024/100 | (4) 21, 21 | (5) 16.8176 | (6) 148.908 | (7) 0.000229716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 45.8333/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (82789, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.844 | (25) (33.8612, 82-61)
Output number: 2, Rank-91: (1) 30 | (2) 462 | (3)6.49351/100 | (4) 21, 21 | (5) 22.3788 | (6) 146.251 | (7) 0.000376258 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.6667/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (73431, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 110.96 | (25) (34.7346, 140-1)
Output number: 2, Rank-310: (1) 12 | (2) 566 | (3)2.12014/100 | (4) 34, 34 | (5) 4.42225 | (6) 148.954 | (7) 0.000270345 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 42.5/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (71962, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 76.1 | (25) (33.425, 9-13)
Output number: 2, Rank-702: (1) 37 | (2) 499 | (3)7.41483/100 | (4) 23, 23 | (5) 23.8713 | (6) 143.18 | (7) 0.000283762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.3889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (70433, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.302 | (25) (34.1872, 58-72)
Output number: 2, Rank-642: (1) 31 | (2) 439 | (3)7.0615/100 | (4) 25, 25 | (5) 17.9614 | (6) 146.218 | (7) 0.00031698 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.5556/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (82942, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.583 | (25) (33.6531, 78-90)
Output number: 2, Rank-844: (1) 25 | (2) 435 | (3)5.74713/100 | (4) 44, 44 | (5) 10.6924 | (6) 145.453 | (7) 0.000311552 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 43.3333/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (91252, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 82.8556 | (25) (34.0369, 141-136)
Output number: 2, Rank-820: (1) 43 | (2) 491 | (3)8.75764/100 | (4) 13, 13 | (5) 26.6012 | (6) 146.971 | (7) 0.000302511 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.0556/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (67827, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.305 | (25) (33.8819, 67-62)
Output number: 2, Rank-284: (1) 44 | (2) 527 | (3)8.34915/100 | (4) 22, 22 | (5) 24.2094 | (6) 140.352 | (7) 0.000288239 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.5556/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (65346, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.919 | (25) (33.6827, 14-7)
Output number: 2, Rank-366: (1) 38 | (2) 3426 | (3)1.10917/100 | (4) 10, 10 | (5) 24.1793 | (6) 147.172 | (7) 0.000324772 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.5/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (54972, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.496 | (25) (33.5085, 68-86)
Output number: 2, Rank-155: (1) 31 | (2) 459 | (3)6.75381/100 | (4) 33, 33 | (5) 13.5285 | (6) 145.657 | (7) 0.000340756 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.1667/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (88526, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 114.901 | (25) (34.2084, 87-75)
Output number: 2, Rank-546: (1) 58 | (2) 3397 | (3)1.70739/100 | (4) 27, 27 | (5) 33.428 | (6) 138.955 | (7) 0.000350614 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.7778/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (65961, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.387 | (25) (33.4748, 3-130)
Output number: 2, Rank-499: (1) 32 | (2) 3401 | (3)0.9409/100 | (4) 24, 24 | (5) 19.502 | (6) 147.2 | (7) 0.000337972 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.1111/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (68742, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.468 | (25) (33.5952, 8-142)
Output number: 2, Rank-445: (1) 47 | (2) 3464 | (3)1.35681/100 | (4) 24, 24 | (5) 36.2637 | (6) 138.562 | (7) 0.000342058 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 48.3333/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (73139, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.594 | (25) (33.067, 8-11)
Output number: 2, Rank-345: (1) 20 | (2) 280 | (3)7.14286/100 | (4) 33, 33 | (5) 9.45484 | (6) 150.214 | (7) 0.000378454 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.1667/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (80989, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.071 | (25) (33.5545, 81-80)
Output number: 2, Rank-33: (1) 37 | (2) 3406 | (3)1.08632/100 | (4) 23, 23 | (5) 23.904 | (6) 143.91 | (7) 0.000151248 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.3889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (68344, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 143.47 | (25) (34.2475, 141-13)
Output number: 2, Rank-81: (1) 45 | (2) 535 | (3)8.41121/100 | (4) 17, 17 | (5) 31.8092 | (6) 136.647 | (7) 0.000125349 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.6667/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (70288, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 114.524 | (25) (33.2793, 139-8)
